ID,Date stamp,Date,0,1,2,3,4,5,6,7,8,9
777526-1,6,7/1/20,0.030245747,0.005671078,0.009451796,0.060491493,0.009451796,0,0,0.15879017,0.21550095,0.009451796
777526-2,6,7/1/20,0.019230769,0,0,0.047008547,0.036324786,0.008547009,0.014957265,0.13034188,0.26495726,0
777526-3,6,7/1/20,0,0.019933555,0.043189369,0.063122924,0.018272425,0.003322259,0,0.10631229,0.27408638,0
777526-4,6,7/1/20,0.008143323,0.016286645,0.022801303,0.081433225,0.063517915,0.013029316,0,0.10586319,0.16775244,0
777526-5,6,7/1/20,0.01863354,0.00621118,0.031055901,0.064182195,0.026915114,0,0.004140787,0.093167702,0.22360248,0
777526-6,6,7/1/20,0,0,0,0.18448637,0.039832285,0.002096436,0.064989518,0.083857442,0.1048218,0.023060797
777526-7,6,7/1/20,0.041818182,0,0,0.052727273,0,0,0,0.070909091,0.27272727,0.034545455
777526-8,6,7/1/20,0.073211314,0,0.031613977,0.071547421,0.006655574,0.019966722,0,0.093178037,0.19134775,0.009983361
777526-9,6,7/1/20,0.031476998,0.014527845,0,0.13075061,0.007263923,0.002421308,0,0.12106538,0.19128329,0
777526-10,6,7/1/20,0.032537961,0.006507592,0.002169197,0.084598698,0.023861171,0.021691974,0.045553145,0.071583514,0.20607375,0
777526-11,6,7/1/20,0,0,0.029209622,0.11168385,0.029209622,0,0.024054983,0.11168385,0.1838488,0
777526-12,6,7/1/20,0.014084507,0.001564945,0,0.10172144,0.020344288,0,0,0.15179969,0.25195618,0.004694836
777527-1,6,7/1/20,0,0,0,0.017094017,0.2991453,0.011965812,0.003418803,0.14871795,0.030769231,0
777527-2,6,7/1/20,0,0.007874016,0.001968504,0,0.32283465,0,0.043307087,0.098425197,0.003937008,0
777527-3,6,7/1/20,0,0,0,0,0.31504065,0,0.028455285,0.11382114,0,0.006097561
777527-4,6,7/1/20,0.01980198,0.001980198,0.011881188,0.015841584,0.31287129,0,0,0.13267327,0,0
777527-5,6,7/1/20,0,0,0.003436426,0.006872852,0.23539519,0,0,0.1185567,0.037800687,0.012027491
777527-6,6,7/1/20,0,0,0,0,0.32142857,0.007518797,0,0.10526316,0.009398496,0.013157895
777527-7,6,7/1/20,0.001459854,0,0.001459854,0.005839416,0.40437956,0,0,0.067153285,0.02189781,0
777527-8,6,7/1/20,0.007936508,0.007936508,0,0.017857143,0.34920635,0,0,0.08531746,0.025793651,0.005952381
777527-9,6,7/1/20,0,0,0.002392345,0,0.32535885,0,0.004784689,0.11722488,0.04784689,0
777527-10,6,7/1/20,0,0,0.010438413,0,0.30480167,0.002087683,0,0.13569937,0,0.004175365
777527-11,6,7/1/20,0,0,0,0.020120724,0.29979879,0,0,0.12273642,0,0
777527-12,6,7/1/20,0,0,0,0.010606061,0.31515152,0,0,0.12424242,0.007575758,0.016666667
777527-13,6,7/1/20,0,0,0.053488372,0,0.31627907,0,0,0.13255814,0,0
777527-14,6,7/1/20,0,0.006451613,0,0.019354839,0.35806452,0,0.012903226,0.062903226,0.011290323,0
777527-15,6,7/1/20,0.041176471,0.003921569,0,0,0.36078431,0,0,0.11372549,0.015686275,0
777528-1,6,7/1/20,0.012006861,0.034305317,0.02915952,0,0.024013722,0.11320755,0,0.24699828,0.024013722,0.060034305
777528-2,6,7/1/20,0,0.002512563,0,0,0.057788945,0.15577889,0,0.3040201,0,0.027638191
777528-3,6,7/1/20,0.003616637,0.039783002,0.012658228,0.027124774,0.056057866,0.079566004,0.037974684,0.23146474,0.009041591,0.01084991
777528-4,6,7/1/20,0.031390135,0,0.002242153,0,0.013452915,0.21524664,0,0.20852018,0.060538117,0.02690583
777528-5,6,7/1/20,0.002155172,0,0.043103448,0.004310345,0,0.13577586,0,0.29525862,0.023706897,0.015086207
777528-6,6,7/1/20,0,0.035639413,0.002096436,0,0.016771488,0.19077568,0,0.278826,0,0.012578616
777528-7,6,7/1/20,0,0.032414911,0.019448947,0.034035656,0.01458671,0.087520259,0.004862237,0.31118314,0.024311183,0
802217-1,7,1/1/21,0.078947368,0,0.022556391,0.026315789,0.022556391,0.026315789,0.063909774,0.10150376,0.052631579,0.018796992
802217-2,7,1/1/21,0.11252269,0.005444646,0.023593466,0,0,0.025408348,0,0.16515426,0.13974592,0
802217-3,7,1/1/21,0.18647166,0.007312614,0.036563071,0,0.021937843,0.036563071,0.036563071,0.073126143,0.087751371,0.012797075
802217-4,7,1/1/21,0.12244898,0,0,0,0.025974026,0.040816327,0.014842301,0.14471243,0.074211503,0.057513915
802217-5,7,1/1/21,0.041431262,0.018832392,0.02259887,0.007532957,0.001883239,0.056497175,0.047080979,0.14124294,0.084745763,0.043314501
802217-6,7,1/1/21,0.14680851,0,0,0.00212766,0.021276596,0,0,0.14468085,0.17659574,0
802217-7,7,1/1/21,0.11411992,0,0.005802708,0,0,0.050290135,0.011605416,0.15280464,0.052224371,0.058027079
802217-8,7,1/1/21,0.11048689,0,0,0.018726592,0.024344569,0.001872659,0.016853933,0.11985019,0.093632959,0.052434457
802217-9,7,1/1/21,0.078787879,0.10909091,0.006060606,0.054545455,0,0,0.012121212,0.18787879,0.072727273,0
802218-1,7,1/1/21,0.0546875,0.234375,0,0,0.015625,0.003125,0,0.16875,0.0734375,0
802218-2,7,1/1/21,0.059471366,0.17180617,0.030837004,0.013215859,0.015418502,0.019823789,0,0.10572687,0.13876652,0
802218-3,7,1/1/21,0.045627376,0.25665399,0.003802281,0,0.030418251,0.005703422,0,0.12357414,0.030418251,0.057034221
802218-4,7,1/1/21,0.011516315,0.35316699,0,0,0.013435701,0,0.024952015,0.10364683,0.011516315,0.03646833
802218-5,7,1/1/21,0,0.2243346,0.011406844,0,0,0,0,0.25095057,0.072243346,0
802219-1,7,1/1/21,0,0.21428571,0,0.005952381,0.075396825,0,0.01984127,0.14484127,0.005952381,0.011904762
802219-2,7,1/1/21,0,0.22991071,0,0,0.022321429,0,0.015625,0.14732143,0.029017857,0.006696429
802219-3,7,1/1/21,0,0.19434629,0.003533569,0.019434629,0.019434629,0,0.007067138,0.13427562,0.10424028,0.019434629
802219-4,7,1/1/21,0,0.18574109,0,0,0.065666041,0.022514071,0.013133208,0.12195122,0.05065666,0.016885553
802219-5,7,1/1/21,0.011705686,0.25919732,0.033444816,0,0.030100334,0,0,0.14882943,0,0.006688963
802219-6,7,1/1/21,0,0.28629857,0.010224949,0,0.030674847,0,0,0.1002045,0.051124744,0
802219-7,7,1/1/21,0.002457003,0.17936118,0.004914005,0.029484029,0.044226044,0,0.014742015,0.14004914,0,0.044226044
802219-8,7,1/1/21,0.005597015,0.22201493,0,0.016791045,0.026119403,0,0.01119403,0.13432836,0.026119403,0
802219-9,7,1/1/21,0,0.18849206,0,0,0.077380952,0,0.12698413,0.03968254,0,0.027777778
802219-10,7,1/1/21,0,0.23210832,0.003868472,0,0.046421663,0,0.065764023,0.063829787,0.023210832,0.034816248
802219-11,7,1/1/21,0,0.22813688,0.049429658,0,0.047528517,0,0.009505703,0.10076046,0,0.020912548
